Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
342.16	1.0000	978.72	0.0010217	288.69	289.71	0.94245	3.9283	4.1875	1556.3	-0.19579	0.00040966	0.66279	liquid
343.16	1.0000	978.16	0.0010223	292.88	293.90	0.95468	3.9232	4.1881	1556.5	-0.19524	0.00040406	0.66358	liquid
344.16	1.0000	977.58	0.0010229	297.06	298.09	0.96686	3.9180	4.1887	1556.6	-0.19470	0.00039859	0.66435	liquid
345.16	1.0000	977.00	0.0010235	301.25	302.28	0.97902	3.9128	4.1893	1556.7	-0.19415	0.00039325	0.66510	liquid
346.16	1.0000	976.42	0.0010241	305.44	306.47	0.99114	3.9076	4.1900	1556.8	-0.19360	0.00038802	0.66583	liquid
347.16	1.0000	975.83	0.0010248	309.63	310.66	1.0032	3.9024	4.1906	1556.8	-0.19306	0.00038292	0.66655	liquid
348.16	1.0000	975.24	0.0010254	313.82	314.85	1.0153	3.8972	4.1913	1556.8	-0.19251	0.00037792	0.66725	liquid
349.16	1.0000	974.64	0.0010260	318.01	319.04	1.0273	3.8920	4.1919	1556.8	-0.19196	0.00037304	0.66793	liquid
350.16	1.0000	974.03	0.0010267	322.20	323.23	1.0393	3.8868	4.1926	1556.7	-0.19141	0.00036826	0.66859	liquid
351.16	1.0000	973.42	0.0010273	326.40	327.42	1.0513	3.8816	4.1933	1556.6	-0.19086	0.00036359	0.66924	liquid
352.16	1.0000	972.81	0.0010280	330.59	331.62	1.0632	3.8763	4.1941	1556.4	-0.19031	0.00035901	0.66987	liquid
353.16	1.0000	972.19	0.0010286	334.78	335.81	1.0751	3.8711	4.1948	1556.2	-0.18975	0.00035454	0.67048	liquid
354.16	1.0000	971.56	0.0010293	338.98	340.01	1.0869	3.8659	4.1956	1556.0	-0.18920	0.00035016	0.67107	liquid
355.16	1.0000	970.93	0.0010299	343.17	344.20	1.0988	3.8606	4.1963	1555.7	-0.18864	0.00034587	0.67166	liquid
356.16	1.0000	970.30	0.0010306	347.37	348.40	1.1106	3.8554	4.1971	1555.4	-0.18809	0.00034168	0.67222	liquid
357.16	1.0000	969.66	0.0010313	351.57	352.60	1.1223	3.8502	4.1979	1555.1	-0.18753	0.00033757	0.67277	liquid
358.16	1.0000	969.01	0.0010320	355.76	356.80	1.1341	3.8449	4.1988	1554.7	-0.18697	0.00033354	0.67330	liquid
359.16	1.0000	968.36	0.0010327	359.96	361.00	1.1458	3.8397	4.1996	1554.3	-0.18641	0.00032960	0.67382	liquid
360.16	1.0000	967.71	0.0010334	364.16	365.20	1.1575	3.8345	4.2005	1553.8	-0.18584	0.00032574	0.67432	liquid
361.16	1.0000	967.05	0.0010341	368.36	369.40	1.1691	3.8292	4.2014	1553.4	-0.18528	0.00032195	0.67481	liquid
362.16	1.0000	966.38	0.0010348	372.56	373.60	1.1807	3.8240	4.2023	1552.8	-0.18471	0.00031825	0.67529	liquid
363.16	1.0000	965.71	0.0010355	376.77	377.80	1.1923	3.8188	4.2032	1552.3	-0.18415	0.00031461	0.67575	liquid
364.16	1.0000	965.04	0.0010362	380.97	382.00	1.2039	3.8135	4.2042	1551.7	-0.18358	0.00031105	0.67619	liquid
365.16	1.0000	964.36	0.0010370	385.17	386.21	1.2154	3.8083	4.2051	1551.1	-0.18300	0.00030756	0.67662	liquid
366.16	1.0000	963.68	0.0010377	389.38	390.41	1.2269	3.8031	4.2061	1550.5	-0.18243	0.00030414	0.67704	liquid
367.16	1.0000	962.99	0.0010384	393.58	394.62	1.2384	3.7979	4.2071	1549.8	-0.18185	0.00030078	0.67744	liquid
368.16	1.0000	962.30	0.0010392	397.79	398.83	1.2498	3.7927	4.2082	1549.1	-0.18127	0.00029749	0.67783	liquid
369.16	1.0000	961.60	0.0010399	402.00	403.04	1.2612	3.7875	4.2092	1548.3	-0.18069	0.00029426	0.67821	liquid
370.16	1.0000	960.90	0.0010407	406.21	407.25	1.2726	3.7823	4.2103	1547.6	-0.18011	0.00029110	0.67857	liquid
371.16	1.0000	960.19	0.0010415	410.42	411.46	1.2840	3.7771	4.2114	1546.8	-0.17952	0.00028799	0.67892	liquid
372.16	1.0000	959.48	0.0010422	414.63	415.67	1.2953	3.7719	4.2125	1545.9	-0.17893	0.00028494	0.67926	liquid
373.16	1.0000	958.76	0.0010430	418.84	419.88	1.3066	3.7667	4.2136	1545.1	-0.17834	0.00028195	0.67959	liquid
374.16	1.0000	958.04	0.0010438	423.05	424.10	1.3179	3.7616	4.2148	1544.2	-0.17774	0.00027902	0.67990	liquid
375.16	1.0000	957.32	0.0010446	427.27	428.31	1.3292	3.7564	4.2160	1543.3	-0.17715	0.00027614	0.68020	liquid
